Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Power battery holder,1,18v,
"C1, C11, C12, C15, C16, C5, C6",0402,7,0u1,C307331
"C10, C7, C8, C9",0805,4,10u,C440198
"C13, C14, C4",0603,3,22u,C59461
"C17, C18",0402,2,47p,C1567
"C19, C20, C21, C22, C23, C24, C25, C26",0805,8,22u,C45783
C2,0603,1,10u,C19702
"C27, C3, C30, C33, C36, C39, C42, C45",0402,8,1u,C52923
"C29, C32, C35, C38, C41, C44, C47",0402,7,1n,C1523
"D1, D2, D5",Diode_DFN1006,3,H5VU10U,C22395519
"D10, D4, D9",0603,3,RED,C2286
"D11, D20, D6",D_SMA,3,D_Schottky,C22452
"D12, D13, D14, D15, D16, D17, D18, D19, D3",0805,9,GREEN,C2297
D7,D_SOD-123,1,BZT52B3V3,C19077392
D8,D_SMA,1,D_TVS,C19077549
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C393939
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J20, J21, J22, J4, J5, J6, J7, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,20,Conn_01x02,C158012
"JP10, JP3, JP4, JP5, JP6, JP7, JP8, JP9",PinHeader_2x01_P2.54mm_Vertical,8,Jumper_2_Small_Open,
"L1, L2",L_Bourns_SRP1050WA,2,5u6,C149541
"R1, R12, R13, R16, R17, R2, R24, R25, R27, R31, R32, R34, R38, R4, R40, R46, R48, R5, R54, R56, R62, R64, R70, R71, R73",0402,25,5k1,C25905
"R10, R11",0402,2,22,C25092
"R14, R15",0402,2,52k3,C26982
"R18, R21, R26, R28, R33, R35, R41, R43, R49, R51, R57, R59, R6, R65, R67, R72, R8, R9",0402,18,10k,C25744
R19,0402,1,100k,C25741
R20,0402,1,73k2,C26986
"R22, R23, R29, R30, R36, R37, R42, R44, R45, R50, R52, R53, R58, R60, R61, R66, R68, R69",0402,18,1k5,C25867
R3,1206,1,120,C17909
"R39, R47, R55, R63",0402,4,390k,C25782
R7,0603,1,1k8,C4177
SW1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SW_Push,C158012
"SW2, SW3",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
"U10, U11, U12, U6, U7, U8, U9",Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,7,TPS259472A,C3662789
U3,SOT-23-5,1,TLV75733PDBV,C485517
"U4, U5",Texas_RPA0010A_VQFN-HR-10_3x3mm_P0.5mm,2,TPS56A37,C22392669
